"Staurosporine biosynthesis","map00404","Metabolism","Biosynthesis of other secondary metabolites"
"beta-Alanine metabolism","map00410","Metabolism","Metabolism of other amino acids"
"Taurine and hypotaurine metabolism","map00430","Metabolism","Metabolism of other amino acids"
"Phosphonate and phosphinate metabolism","map00440","Metabolism","Metabolism of other amino acids"
"Selenocompound metabolism","map00450","Metabolism","Metabolism of other amino acids"
"Cyanoamino acid metabolism","map00460","Metabolism","Metabolism of other amino acids"
"D-Glutamine and D-glutamate metabolism","map00471","Metabolism","Metabolism of other amino acids"
"D-Arginine and D-ornithine metabolism","map00472","Metabolism","Metabolism of other amino acids"
"D-Alanine metabolism","map00473","Metabolism","Metabolism of other amino acids"
"Glutathione metabolism","map00480","Metabolism","Metabolism of other amino acids"
"Starch and sucrose metabolism","map00500","Metabolism","Carbohydrate metabolism"
"N-Glycan biosynthesis","map00510","Metabolism","Glycan biosynthesis and metabolism"
"Other glycan degradation","map00511","Metabolism","Glycan biosynthesis and metabolism"
"Mucin type O-Glycan biosynthesis","map00512","Metabolism","Glycan biosynthesis and metabolism"
"Various types of N-glycan biosynthesis","map00513","Metabolism","Glycan biosynthesis and metabolism"
"Other types of O-glycan biosynthesis","map00514","Metabolism","Glycan biosynthesis and metabolism"
"Amino sugar and nucleotide sugar metabolism","map00520","Metabolism","Carbohydrate metabolism"
"Streptomycin biosynthesis","map00521","Metabolism","Biosynthesis of other secondary metabolites"
"Biosynthesis of 12-, 14- and 16-membered macrolides","map00522","Metabolism","Metabolism of terpenoids and polyketides"
"Polyketide sugar unit biosynthesis","map00523","Metabolism","Metabolism of terpenoids and polyketides"
"Butirosin and neomycin biosynthesis","map00524","Metabolism","Biosynthesis of other secondary metabolites"
"Glycosaminoglycan degradation","map00531","Metabolism","Glycan biosynthesis and metabolism"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","map00532","Metabolism","Glycan biosynthesis and metabolism"
"Glycosaminoglycan biosynthesis - keratan sulfate","map00533","Metabolism","Glycan biosynthesis and metabolism"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin","map00534","Metabolism","Glycan biosynthesis and metabolism"
"Lipopolysaccharide biosynthesis","map00540","Metabolism","Glycan biosynthesis and metabolism"
"Peptidoglycan biosynthesis","map00550","Metabolism","Glycan biosynthesis and metabolism"
"Glycerolipid metabolism","map00561","Metabolism","Lipid metabolism"
"Inositol phosphate metabolism","map00562","Metabolism","Carbohydrate metabolism"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","map00563","Metabolism","Glycan biosynthesis and metabolism"
"Glycerophospholipid metabolism","map00564","Metabolism","Lipid metabolism"
"Ether lipid metabolism","map00565","Metabolism","Lipid metabolism"
"Arachidonic acid metabolism","map00590","Metabolism","Lipid metabolism"
"Linoleic acid metabolism","map00591","Metabolism","Lipid metabolism"
"alpha-Linolenic acid metabolism","map00592","Metabolism","Lipid metabolism"
"Sphingolipid metabolism","map00600","Metabolism","Lipid metabolism"
"Glycosphingolipid biosynthesis - lacto and neolacto series","map00601","Metabolism","Glycan biosynthesis and metabolism"
"Glycosphingolipid biosynthesis - globo series","map00603","Metabolism","Glycan biosynthesis and metabolism"
"Glycosphingolipid biosynthesis - ganglio series","map00604","Metabolism","Glycan biosynthesis and metabolism"
"Pyruvate metabolism","map00620","Metabolism","Carbohydrate metabolism"
"Dioxin degradation","map00621","Metabolism","Xenobiotics biodegradation and metabolism"
"Xylene degradation","map00622","Metabolism","Xenobiotics biodegradation and metabolism"
"Toluene degradation","map00623","Metabolism","Xenobiotics biodegradation and metabolism"
"Polycyclic aromatic hydrocarbon degradation","map00624","Metabolism","Xenobiotics biodegradation and metabolism"
"Chloroalkane and chloroalkene degradation","map00625","Metabolism","Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","map00626","Metabolism","Xenobiotics biodegradation and metabolism"
"Aminobenzoate degradation","map00627","Metabolism","Xenobiotics biodegradation and metabolism"
"Glyoxylate and dicarboxylate metabolism","map00630","Metabolism","Carbohydrate metabolism"
"Nitrotoluene degradation","map00633","Metabolism","Xenobiotics biodegradation and metabolism"
"Propanoate metabolism","map00640","Metabolism","Carbohydrate metabolism"
"Ethylbenzene degradation","map00642","Metabolism","Xenobiotics biodegradation and metabolism"
"Styrene degradation","map00643","Metabolism","Xenobiotics biodegradation and metabolism"
"Butanoate metabolism","map00650","Metabolism","Carbohydrate metabolism"
"C5-Branched dibasic acid metabolism","map00660","Metabolism","Carbohydrate metabolism"
"One carbon pool by folate","map00670","Metabolism","Metabolism of cofactors and vitamins"
"Methane metabolism","map00680","Metabolism","Energy metabolism"
"Carbon fixation in photosynthetic organisms","map00710","Metabolism","Energy metabolism"
"Carbon fixation pathways in prokaryotes","map00720","Metabolism","Energy metabolism"
"Thiamine metabolism","map00730","Metabolism","Metabolism of cofactors and vitamins"
"Riboflavin metabolism","map00740","Metabolism","Metabolism of cofactors and vitamins"
"Vitamin B6 metabolism","map00750","Metabolism","Metabolism of cofactors and vitamins"
"Nicotinate and nicotinamide metabolism","map00760","Metabolism","Metabolism of cofactors and vitamins"
"Pantothenate and CoA biosynthesis","map00770","Metabolism","Metabolism of cofactors and vitamins"
"Biotin metabolism","map00780","Metabolism","Metabolism of cofactors and vitamins"
"Lipoic acid metabolism","map00785","Metabolism","Metabolism of cofactors and vitamins"
"Folate biosynthesis","map00790","Metabolism","Metabolism of cofactors and vitamins"
"Atrazine degradation","map00791","Metabolism","Xenobiotics biodegradation and metabolism"
"Retinol metabolism","map00830","Metabolism","Metabolism of cofactors and vitamins"
"Porphyrin and chlorophyll metabolism","map00860","Metabolism","Metabolism of cofactors and vitamins"
"Terpenoid backbone biosynthesis","map00900","Metabolism","Metabolism of terpenoids and polyketides"
"Indole alkaloid biosynthesis","map00901","Metabolism","Biosynthesis of other secondary metabolites"
"Monoterpenoid biosynthesis","map00902","Metabolism","Metabolism of terpenoids and polyketides"
"Limonene and pinene degradation","map00903","Metabolism","Metabolism of terpenoids and polyketides"
"Diterpenoid biosynthesis","map00904","Metabolism","Metabolism of terpenoids and polyketides"
"Brassinosteroid biosynthesis","map00905","Metabolism","Metabolism of terpenoids and polyketides"
"Carotenoid biosynthesis","map00906","Metabolism","Metabolism of terpenoids and polyketides"
"Zeatin biosynthesis","map00908","Metabolism","Metabolism of terpenoids and polyketides"
"Sesquiterpenoid and triterpenoid biosynthesis","map00909","Metabolism","Metabolism of terpenoids and polyketides"
"Nitrogen metabolism","map00910","Metabolism","Energy metabolism"
"Sulfur metabolism","map00920","Metabolism","Energy metabolism"
"Caprolactam degradation","map00930","Metabolism","Xenobiotics biodegradation and metabolism"
"Phenylpropanoid biosynthesis","map00940","Metabolism","Biosynthesis of other secondary metabolites"
"Flavonoid biosynthesis","map00941","Metabolism","Biosynthesis of other secondary metabolites"
"Anthocyanin biosynthesis","map00942","Metabolism","Biosynthesis of other secondary metabolites"
"Isoflavonoid biosynthesis","map00943","Metabolism","Biosynthesis of other secondary metabolites"
"Flavone and flavonol biosynthesis","map00944","Metabolism","Biosynthesis of other secondary metabolites"
"Stilbenoid, diarylheptanoid and gingerol biosynthesis","map00945","Metabolism","Biosynthesis of other secondary metabolites"
"Isoquinoline alkaloid biosynthesis","map00950","Metabolism","Biosynthesis of other secondary metabolites"
"Tropane, piperidine and pyridine alkaloid biosynthesis","map00960","Metabolism","Biosynthesis of other secondary metabolites"
"Betalain biosynthesis","map00965","Metabolism","Biosynthesis of other secondary metabolites"
"Glucosinolate biosynthesis","map00966","Metabolism","Biosynthesis of other secondary metabolites"
"Metabolism of xenobiotics by cytochrome P450","map00980","Metabolism","Xenobiotics biodegradation and metabolism"
"Insect hormone biosynthesis","map00981","Metabolism","Metabolism of terpenoids and polyketides"
"Drug metabolism - cytochrome P450","map00982","Metabolism","Xenobiotics biodegradation and metabolism"
"Drug metabolism - other enzymes","map00983","Metabolism","Xenobiotics biodegradation and metabolism"
"Steroid degradation","map00984","Metabolism","Xenobiotics biodegradation and metabolism"
"Biosynthesis of unsaturated fatty acids","map01040","Metabolism","Lipid metabolism"
"Biosynthesis of ansamycins","map01051","Metabolism","Metabolism of terpenoids and polyketides"
"Type I polyketide structures","map01052","Metabolism","Metabolism of terpenoids and polyketides"
"Biosynthesis of siderophore group nonribosomal peptides","map01053","Metabolism","Metabolism of terpenoids and polyketides"
"Nonribosomal peptide structures","map01054","Metabolism","Metabolism of terpenoids and polyketides"
"Biosynthesis of vancomycin group antibiotics","map01055","Metabolism","Metabolism of terpenoids and polyketides"
"Biosynthesis of type II polyketide backbone","map01056","Metabolism","Metabolism of terpenoids and polyketides"
"Biosynthesis of type II polyketide products","map01057","Metabolism","Metabolism of terpenoids and polyketides"
"Acridone alkaloid biosynthesis","map01058","Metabolism","Biosynthesis of other secondary metabolites"
"Carbon metabolism","map01200","Metabolism","Overview"
"2-Oxocarboxylic acid metabolism","map01210","Metabolism","Overview"
"Fatty acid metabolism","map01212","Metabolism","Overview"
"Degradation of aromatic compounds","map01220","Metabolism","Overview"
"Biosynthesis of amino acids","map01230","Metabolism","Overview"
